"","country_code","month","edits","edits_ns0"
"1","AD","2020-09","1 - 100","1 - 100"
"2","AD","2020-10","1 - 100","1 - 100"
"3","AD","2020-11","101 - 200","101 - 200"
"4","AD","2020-12","1 - 100","1 - 100"
"5","AD","2021-01","1 - 100","1 - 100"
"6","AD","2021-02","1 - 100","1 - 100"
"7","AD","2021-03","1 - 100","1 - 100"
"8","AD","2021-04","1 - 100","1 - 100"
"9","AD","2021-05","1 - 100","1 - 100"
"10","AD","2021-06","1 - 100","1 - 100"
"11","AD","2021-07","1 - 100","1 - 100"
"12","AD","2021-08","1 - 100","1 - 100"
"13","AF","2020-09","101 - 200","101 - 200"
"14","AF","2020-10","1 - 100","1 - 100"
"15","AF","2020-11","1 - 100","1 - 100"
"16","AF","2020-12","1 - 100","1 - 100"
"17","AF","2021-01","1 - 100","1 - 100"
"18","AF","2021-02","1 - 100","1 - 100"
"19","AF","2021-03","1 - 100","1 - 100"
"20","AF","2021-04","1 - 100","1 - 100"
"21","AF","2021-05","1 - 100","1 - 100"
"22","AF","2021-06","1 - 100","1 - 100"
"23","AF","2021-07","1 - 100","1 - 100"
"24","AF","2021-08","1 - 100","1 - 100"
"25","AG","2020-12","1 - 100","1 - 100"
"26","AG","2021-05","1 - 100","1 - 100"
"27","AI","2020-10","1 - 100","1 - 100"
"28","AI","2021-05","1 - 100","1 - 100"
"29","AL","2020-09","101 - 200","101 - 200"
"30","AL","2020-10","101 - 200","101 - 200"
"31","AL","2020-11","201 - 300","201 - 300"
"32","AL","2020-12","101 - 200","101 - 200"
"33","AL","2021-01","501 - 600","501 - 600"
"34","AL","2021-02","101 - 200","101 - 200"
"35","AL","2021-03","201 - 300","201 - 300"
"36","AL","2021-04","201 - 300","201 - 300"
"37","AL","2021-05","101 - 200","101 - 200"
"38","AL","2021-06","201 - 300","201 - 300"
"39","AL","2021-07","101 - 200","1 - 100"
"40","AL","2021-08","101 - 200","101 - 200"
"41","AM","2020-09","> 1000","> 1000"
"42","AM","2020-10","> 1000","> 1000"
"43","AM","2020-11","> 1000","> 1000"
"44","AM","2020-12","> 1000","> 1000"
"45","AM","2021-01","> 1000","> 1000"
"46","AM","2021-02","> 1000","> 1000"
"47","AM","2021-03","> 1000","> 1000"
"48","AM","2021-04","> 1000","> 1000"
"49","AM","2021-05","> 1000","> 1000"
"50","AM","2021-06","> 1000","> 1000"
"51","AM","2021-07","> 1000","> 1000"
"52","AM","2021-08","> 1000","> 1000"
"53","AO","2020-09","1 - 100","1 - 100"
"54","AO","2020-10","1 - 100","1 - 100"
"55","AO","2020-11","1 - 100","1 - 100"
"56","AO","2020-12","1 - 100","1 - 100"
"57","AO","2021-01","1 - 100","1 - 100"
"58","AO","2021-02","1 - 100","1 - 100"
"59","AO","2021-03","1 - 100","1 - 100"
"60","AO","2021-04","1 - 100","1 - 100"
"61","AO","2021-05","1 - 100","1 - 100"
"62","AO","2021-06","1 - 100","1 - 100"
"63","AO","2021-07","101 - 200","101 - 200"
"64","AO","2021-08","1 - 100","1 - 100"
"65","AR","2020-09","> 1000","> 1000"
"66","AR","2020-10","> 1000","> 1000"
"67","AR","2020-11","> 1000","> 1000"
"68","AR","2020-12","> 1000","> 1000"
"69","AR","2021-01","> 1000","> 1000"
"70","AR","2021-02","> 1000","> 1000"
"71","AR","2021-03","> 1000","> 1000"
"72","AR","2021-04","> 1000","> 1000"
"73","AR","2021-05","> 1000","> 1000"
"74","AR","2021-06","> 1000","> 1000"
"75","AR","2021-07","> 1000","> 1000"
"76","AR","2021-08","> 1000","> 1000"
"77","AT","2020-09","> 1000","> 1000"
"78","AT","2020-10","> 1000","> 1000"
"79","AT","2020-11","> 1000","> 1000"
"80","AT","2020-12","> 1000","> 1000"
"81","AT","2021-01","> 1000","> 1000"
"82","AT","2021-02","> 1000","> 1000"
"83","AT","2021-03","> 1000","> 1000"
"84","AT","2021-04","> 1000","> 1000"
"85","AT","2021-05","> 1000","> 1000"
"86","AT","2021-06","> 1000","> 1000"
"87","AT","2021-07","> 1000","> 1000"
"88","AT","2021-08","> 1000","> 1000"
"89","AU","2020-09","> 1000","> 1000"
"90","AU","2020-10","> 1000","> 1000"
"91","AU","2020-11","> 1000","> 1000"
"92","AU","2020-12","> 1000","> 1000"
"93","AU","2021-01","> 1000","> 1000"
"94","AU","2021-02","> 1000","> 1000"
"95","AU","2021-03","> 1000","> 1000"
"96","AU","2021-04","> 1000","> 1000"
"97","AU","2021-05","> 1000","> 1000"
"98","AU","2021-06","> 1000","> 1000"
"99","AU","2021-07","> 1000","> 1000"
"100","AU","2021-08","> 1000","> 1000"
"101","AW","2020-09","1 - 100","1 - 100"
"102","AW","2020-12","1 - 100","1 - 100"
"103","AW","2021-01","1 - 100","1 - 100"
"104","AW","2021-05","1 - 100","1 - 100"
"105","AW","2021-06","101 - 200","101 - 200"
"106","AX","2020-09","1 - 100","0"
"107","AX","2021-01","1 - 100","1 - 100"
"108","AX","2021-03","1 - 100","1 - 100"
"109","AX","2021-05","1 - 100","1 - 100"
"110","BA","2020-09","> 1000","> 1000"
"111","BA","2020-10","> 1000","> 1000"
"112","BA","2020-11","> 1000","> 1000"
"113","BA","2020-12","> 1000","> 1000"
"114","BA","2021-01","> 1000","> 1000"
"115","BA","2021-02","> 1000","> 1000"
"116","BA","2021-03","> 1000","> 1000"
"117","BA","2021-04","> 1000","> 1000"
"118","BA","2021-05","> 1000","> 1000"
"119","BA","2021-06","> 1000","> 1000"
"120","BA","2021-07","> 1000","> 1000"
"121","BA","2021-08","> 1000","> 1000"
"122","BB","2020-09","1 - 100","1 - 100"
"123","BB","2020-10","1 - 100","1 - 100"
"124","BB","2021-01","1 - 100","1 - 100"
"125","BB","2021-02","1 - 100","1 - 100"
"126","BB","2021-03","1 - 100","1 - 100"
"127","BB","2021-06","1 - 100","1 - 100"
"128","BD","2020-09","> 1000","> 1000"
"129","BD","2020-10","> 1000","> 1000"
"130","BD","2020-11","> 1000","> 1000"
"131","BD","2020-12","> 1000","> 1000"
"132","BD","2021-01","> 1000","> 1000"
"133","BD","2021-02","> 1000","> 1000"
"134","BD","2021-03","> 1000","> 1000"
"135","BD","2021-04","> 1000","> 1000"
"136","BD","2021-05","> 1000","> 1000"
"137","BD","2021-06","> 1000","> 1000"
"138","BD","2021-07","> 1000","> 1000"
"139","BD","2021-08","> 1000","> 1000"
"140","BE","2020-09","> 1000","> 1000"
"141","BE","2020-10","> 1000","> 1000"
"142","BE","2020-11","> 1000","> 1000"
"143","BE","2020-12","> 1000","> 1000"
"144","BE","2021-01","> 1000","> 1000"
"145","BE","2021-02","> 1000","> 1000"
"146","BE","2021-03","> 1000","> 1000"
"147","BE","2021-04","> 1000","> 1000"
"148","BE","2021-05","> 1000","> 1000"
"149","BE","2021-06","> 1000","> 1000"
"150","BE","2021-07","> 1000","> 1000"
"151","BE","2021-08","> 1000","> 1000"
"152","BF","2020-09","1 - 100","1 - 100"
"153","BF","2020-10","1 - 100","1 - 100"
"154","BF","2020-11","1 - 100","1 - 100"
"155","BF","2020-12","1 - 100","1 - 100"
"156","BF","2021-01","1 - 100","1 - 100"
"157","BF","2021-02","1 - 100","1 - 100"
"158","BF","2021-03","1 - 100","1 - 100"
"159","BF","2021-04","1 - 100","1 - 100"
"160","BF","2021-05","1 - 100","1 - 100"
"161","BF","2021-06","1 - 100","1 - 100"
"162","BF","2021-07","1 - 100","1 - 100"
"163","BF","2021-08","1 - 100","1 - 100"
"164","BG","2020-09","> 1000","> 1000"
"165","BG","2020-10","> 1000","> 1000"
"166","BG","2020-11","> 1000","> 1000"
"167","BG","2020-12","> 1000","> 1000"
"168","BG","2021-01","> 1000","> 1000"
"169","BG","2021-02","> 1000","> 1000"
"170","BG","2021-03","> 1000","> 1000"
"171","BG","2021-04","> 1000","> 1000"
"172","BG","2021-05","> 1000","> 1000"
"173","BG","2021-06","> 1000","> 1000"
"174","BG","2021-07","> 1000","> 1000"
"175","BG","2021-08","> 1000","> 1000"
"176","BJ","2020-09","101 - 200","101 - 200"
"177","BJ","2020-10","1 - 100","1 - 100"
"178","BJ","2020-11","1 - 100","1 - 100"
"179","BJ","2020-12","1 - 100","1 - 100"
"180","BJ","2021-01","1 - 100","1 - 100"
"181","BJ","2021-02","1 - 100","1 - 100"
"182","BJ","2021-03","1 - 100","1 - 100"
"183","BJ","2021-04","1 - 100","0"
"184","BJ","2021-05","1 - 100","1 - 100"
"185","BJ","2021-06","1 - 100","1 - 100"
"186","BJ","2021-07","101 - 200","101 - 200"
"187","BJ","2021-08","701 - 800","701 - 800"
"188","BL","2021-07","1 - 100","1 - 100"
"189","BM","2021-01","1 - 100","1 - 100"
"190","BM","2021-02","1 - 100","1 - 100"
"191","BM","2021-03","1 - 100","1 - 100"
"192","BN","2020-09","1 - 100","1 - 100"
"193","BN","2020-11","1 - 100","1 - 100"
"194","BN","2020-12","1 - 100","1 - 100"
"195","BN","2021-01","1 - 100","1 - 100"
"196","BN","2021-02","1 - 100","1 - 100"
"197","BN","2021-03","1 - 100","1 - 100"
"198","BN","2021-04","1 - 100","1 - 100"
"199","BN","2021-05","301 - 400","301 - 400"
"200","BN","2021-06","> 1000","> 1000"
"201","BN","2021-07","301 - 400","301 - 400"
"202","BN","2021-08","101 - 200","101 - 200"
"203","BO","2020-09","101 - 200","101 - 200"
"204","BO","2020-10","201 - 300","201 - 300"
"205","BO","2020-11","301 - 400","301 - 400"
"206","BO","2020-12","201 - 300","101 - 200"
"207","BO","2021-01","301 - 400","301 - 400"
"208","BO","2021-02","201 - 300","201 - 300"
"209","BO","2021-03","201 - 300","201 - 300"
"210","BO","2021-04","201 - 300","201 - 300"
"211","BO","2021-05","301 - 400","301 - 400"
"212","BO","2021-06","301 - 400","301 - 400"
"213","BO","2021-07","401 - 500","401 - 500"
"214","BO","2021-08","301 - 400","301 - 400"
"215","BQ","2020-10","1 - 100","1 - 100"
"216","BQ","2020-11","1 - 100","1 - 100"
"217","BQ","2021-01","1 - 100","1 - 100"
"218","BQ","2021-04","1 - 100","1 - 100"
"219","BQ","2021-07","1 - 100","1 - 100"
"220","BR","2020-09","> 1000","> 1000"
"221","BR","2020-10","> 1000","> 1000"
"222","BR","2020-11","> 1000","> 1000"
"223","BR","2020-12","> 1000","> 1000"
"224","BR","2021-01","> 1000","> 1000"
"225","BR","2021-02","> 1000","> 1000"
"226","BR","2021-03","> 1000","> 1000"
"227","BR","2021-04","> 1000","> 1000"
"228","BR","2021-05","> 1000","> 1000"
"229","BR","2021-06","> 1000","> 1000"
"230","BR","2021-07","> 1000","> 1000"
"231","BR","2021-08","> 1000","> 1000"
"232","BS","2020-09","1 - 100","1 - 100"
"233","BS","2020-10","1 - 100","1 - 100"
"234","BS","2020-12","1 - 100","1 - 100"
"235","BS","2021-03","1 - 100","1 - 100"
"236","BS","2021-04","1 - 100","1 - 100"
"237","BS","2021-05","1 - 100","1 - 100"
"238","BS","2021-07","1 - 100","1 - 100"
"239","BT","2020-10","1 - 100","1 - 100"
"240","BT","2020-12","1 - 100","1 - 100"
"241","BT","2021-01","1 - 100","1 - 100"
"242","BT","2021-03","1 - 100","1 - 100"
"243","BT","2021-04","1 - 100","1 - 100"
"244","BT","2021-05","1 - 100","1 - 100"
"245","BT","2021-06","1 - 100","1 - 100"
"246","BT","2021-08","1 - 100","1 - 100"
"247","BW","2020-09","1 - 100","1 - 100"
"248","BW","2020-10","1 - 100","1 - 100"
"249","BW","2020-11","1 - 100","1 - 100"
"250","BW","2020-12","1 - 100","1 - 100"
"251","BW","2021-01","201 - 300","201 - 300"
"252","BW","2021-02","101 - 200","101 - 200"
"253","BW","2021-03","101 - 200","101 - 200"
"254","BW","2021-04","101 - 200","101 - 200"
"255","BW","2021-05","1 - 100","1 - 100"
"256","BW","2021-06","1 - 100","1 - 100"
"257","BW","2021-07","1 - 100","1 - 100"
"258","BW","2021-08","1 - 100","1 - 100"
"259","BZ","2020-10","1 - 100","1 - 100"
"260","BZ","2020-11","1 - 100","1 - 100"
"261","BZ","2020-12","1 - 100","1 - 100"
"262","BZ","2021-01","1 - 100","1 - 100"
"263","BZ","2021-02","1 - 100","1 - 100"
"264","BZ","2021-03","1 - 100","1 - 100"
"265","BZ","2021-04","1 - 100","1 - 100"
"266","BZ","2021-06","1 - 100","1 - 100"
"267","BZ","2021-08","1 - 100","1 - 100"
"268","CA","2020-09","> 1000","> 1000"
"269","CA","2020-10","> 1000","> 1000"
"270","CA","2020-11","> 1000","> 1000"
"271","CA","2020-12","> 1000","> 1000"
"272","CA","2021-01","> 1000","> 1000"
"273","CA","2021-02","> 1000","> 1000"
"274","CA","2021-03","> 1000","> 1000"
"275","CA","2021-04","> 1000","> 1000"
"276","CA","2021-05","> 1000","> 1000"
"277","CA","2021-06","> 1000","> 1000"
"278","CA","2021-07","> 1000","> 1000"
"279","CA","2021-08","> 1000","> 1000"
"280","CD","2020-09","1 - 100","1 - 100"
"281","CD","2020-10","1 - 100","1 - 100"
"282","CD","2020-11","1 - 100","1 - 100"
"283","CD","2020-12","1 - 100","1 - 100"
"284","CD","2021-01","1 - 100","1 - 100"
"285","CD","2021-02","1 - 100","1 - 100"
"286","CD","2021-03","101 - 200","101 - 200"
"287","CD","2021-04","301 - 400","301 - 400"
"288","CD","2021-05","> 1000","> 1000"
"289","CD","2021-06","> 1000","> 1000"
"290","CD","2021-07","401 - 500","401 - 500"
"291","CD","2021-08","601 - 700","601 - 700"
"292","CF","2020-10","1 - 100","1 - 100"
"293","CF","2021-01","1 - 100","1 - 100"
"294","CF","2021-05","1 - 100","1 - 100"
"295","CG","2020-09","1 - 100","1 - 100"
"296","CG","2020-10","1 - 100","1 - 100"
"297","CG","2020-11","1 - 100","1 - 100"
"298","CG","2020-12","1 - 100","1 - 100"
"299","CG","2021-01","1 - 100","1 - 100"
"300","CG","2021-02","1 - 100","1 - 100"
"301","CG","2021-03","1 - 100","1 - 100"
"302","CG","2021-04","1 - 100","1 - 100"
"303","CG","2021-05","1 - 100","1 - 100"
"304","CG","2021-06","1 - 100","1 - 100"
"305","CG","2021-07","1 - 100","1 - 100"
"306","CG","2021-08","101 - 200","101 - 200"
"307","CH","2020-09","> 1000","> 1000"
"308","CH","2020-10","> 1000","> 1000"
"309","CH","2020-11","> 1000","> 1000"
"310","CH","2020-12","> 1000","> 1000"
"311","CH","2021-01","> 1000","> 1000"
"312","CH","2021-02","> 1000","> 1000"
"313","CH","2021-03","> 1000","> 1000"
"314","CH","2021-04","> 1000","> 1000"
"315","CH","2021-05","> 1000","> 1000"
"316","CH","2021-06","> 1000","> 1000"
"317","CH","2021-07","> 1000","> 1000"
"318","CH","2021-08","> 1000","> 1000"
"319","CI","2020-09","1 - 100","1 - 100"
"320","CI","2020-10","1 - 100","1 - 100"
"321","CI","2020-11","1 - 100","1 - 100"
"322","CI","2020-12","1 - 100","1 - 100"
"323","CI","2021-01","1 - 100","1 - 100"
"324","CI","2021-02","1 - 100","1 - 100"
"325","CI","2021-03","1 - 100","1 - 100"
"326","CI","2021-04","1 - 100","1 - 100"
"327","CI","2021-05","101 - 200","101 - 200"
"328","CI","2021-06","1 - 100","1 - 100"
"329","CI","2021-07","1 - 100","1 - 100"
"330","CI","2021-08","101 - 200","101 - 200"
"331","CL","2020-09","> 1000","> 1000"
"332","CL","2020-10","> 1000","> 1000"
"333","CL","2020-11","> 1000","> 1000"
"334","CL","2020-12","> 1000","> 1000"
"335","CL","2021-01","> 1000","> 1000"
"336","CL","2021-02","> 1000","> 1000"
"337","CL","2021-03","> 1000","> 1000"
"338","CL","2021-04","> 1000","> 1000"
"339","CL","2021-05","> 1000","> 1000"
"340","CL","2021-06","> 1000","> 1000"
"341","CL","2021-07","> 1000","> 1000"
"342","CL","2021-08","> 1000","> 1000"
"343","CM","2020-09","1 - 100","1 - 100"
"344","CM","2020-10","1 - 100","1 - 100"
"345","CM","2020-11","1 - 100","1 - 100"
"346","CM","2020-12","201 - 300","201 - 300"
"347","CM","2021-01","401 - 500","401 - 500"
"348","CM","2021-02","101 - 200","101 - 200"
"349","CM","2021-03","1 - 100","1 - 100"
"350","CM","2021-04","301 - 400","201 - 300"
"351","CM","2021-05","101 - 200","101 - 200"
"352","CM","2021-06","701 - 800","701 - 800"
"353","CM","2021-07","> 1000","> 1000"
"354","CM","2021-08","201 - 300","101 - 200"
"355","CO","2020-09","> 1000","> 1000"
"356","CO","2020-10","> 1000","> 1000"
"357","CO","2020-11","> 1000","> 1000"
"358","CO","2020-12","> 1000","> 1000"
"359","CO","2021-01","> 1000","> 1000"
"360","CO","2021-02","> 1000","> 1000"
"361","CO","2021-03","> 1000","> 1000"
"362","CO","2021-04","> 1000","> 1000"
"363","CO","2021-05","> 1000","> 1000"
"364","CO","2021-06","> 1000","> 1000"
"365","CO","2021-07","> 1000","> 1000"
"366","CO","2021-08","> 1000","> 1000"
"367","CR","2020-09","> 1000","> 1000"
"368","CR","2020-10","601 - 700","601 - 700"
"369","CR","2020-11","701 - 800","701 - 800"
"370","CR","2020-12","501 - 600","501 - 600"
"371","CR","2021-01","301 - 400","301 - 400"
"372","CR","2021-02","401 - 500","401 - 500"
"373","CR","2021-03","301 - 400","301 - 400"
"374","CR","2021-04","801 - 900","801 - 900"
"375","CR","2021-05","701 - 800","701 - 800"
"376","CR","2021-06","401 - 500","401 - 500"
"377","CR","2021-07","501 - 600","501 - 600"
"378","CR","2021-08","> 1000","> 1000"
"379","CV","2020-12","1 - 100","1 - 100"
"380","CV","2021-03","1 - 100","1 - 100"
"381","CV","2021-04","1 - 100","1 - 100"
"382","CW","2020-09","1 - 100","1 - 100"
"383","CW","2020-11","1 - 100","0"
"384","CW","2021-01","1 - 100","1 - 100"
"385","CW","2021-02","1 - 100","1 - 100"
"386","CW","2021-03","1 - 100","1 - 100"
"387","CW","2021-04","1 - 100","1 - 100"
"388","CW","2021-05","1 - 100","1 - 100"
"389","CW","2021-07","1 - 100","1 - 100"
"390","CW","2021-08","1 - 100","1 - 100"
"391","CY","2020-09","1 - 100","1 - 100"
"392","CY","2020-10","201 - 300","201 - 300"
"393","CY","2020-11","201 - 300","201 - 300"
"394","CY","2020-12","1 - 100","1 - 100"
"395","CY","2021-01","701 - 800","601 - 700"
"396","CY","2021-02","501 - 600","501 - 600"
"397","CY","2021-03","> 1000","> 1000"
"398","CY","2021-04","> 1000","> 1000"
"399","CY","2021-05","> 1000","> 1000"
"400","CY","2021-06","> 1000","> 1000"
"401","CY","2021-07","901 - 1000","901 - 1000"
"402","CY","2021-08","1 - 100","1 - 100"
"403","CZ","2020-09","> 1000","> 1000"
"404","CZ","2020-10","> 1000","> 1000"
"405","CZ","2020-11","> 1000","> 1000"
"406","CZ","2020-12","> 1000","> 1000"
"407","CZ","2021-01","> 1000","> 1000"
"408","CZ","2021-02","> 1000","> 1000"
"409","CZ","2021-03","> 1000","> 1000"
"410","CZ","2021-04","> 1000","> 1000"
"411","CZ","2021-05","> 1000","> 1000"
"412","CZ","2021-06","> 1000","> 1000"
"413","CZ","2021-07","> 1000","> 1000"
"414","CZ","2021-08","> 1000","> 1000"
"415","DE","2020-09","> 1000","> 1000"
"416","DE","2020-10","> 1000","> 1000"
"417","DE","2020-11","> 1000","> 1000"
"418","DE","2020-12","> 1000","> 1000"
"419","DE","2021-01","> 1000","> 1000"
"420","DE","2021-02","> 1000","> 1000"
"421","DE","2021-03","> 1000","> 1000"
"422","DE","2021-04","> 1000","> 1000"
"423","DE","2021-05","> 1000","> 1000"
"424","DE","2021-06","> 1000","> 1000"
"425","DE","2021-07","> 1000","> 1000"
"426","DE","2021-08","> 1000","> 1000"
"427","DK","2020-09","> 1000","> 1000"
"428","DK","2020-10","> 1000","> 1000"
"429","DK","2020-11","> 1000","> 1000"
"430","DK","2020-12","> 1000","> 1000"
"431","DK","2021-01","> 1000","> 1000"
"432","DK","2021-02","> 1000","> 1000"
"433","DK","2021-03","> 1000","> 1000"
"434","DK","2021-04","> 1000","> 1000"
"435","DK","2021-05","> 1000","> 1000"
"436","DK","2021-06","> 1000","> 1000"
"437","DK","2021-07","> 1000","> 1000"
"438","DK","2021-08","> 1000","> 1000"
"439","DO","2020-09","201 - 300","201 - 300"
"440","DO","2020-10","301 - 400","301 - 400"
"441","DO","2020-11","301 - 400","301 - 400"
"442","DO","2020-12","301 - 400","301 - 400"
"443","DO","2021-01","701 - 800","701 - 800"
"444","DO","2021-02","401 - 500","401 - 500"
"445","DO","2021-03","601 - 700","601 - 700"
"446","DO","2021-04","701 - 800","701 - 800"
"447","DO","2021-05","701 - 800","701 - 800"
"448","DO","2021-06","401 - 500","401 - 500"
"449","DO","2021-07","301 - 400","301 - 400"
"450","DO","2021-08","601 - 700","601 - 700"
"451","DZ","2020-09","> 1000","> 1000"
"452","DZ","2020-10","> 1000","> 1000"
"453","DZ","2020-11","> 1000","> 1000"
"454","DZ","2020-12","> 1000","> 1000"
"455","DZ","2021-01","> 1000","> 1000"
"456","DZ","2021-02","> 1000","> 1000"
"457","DZ","2021-03","> 1000","> 1000"
"458","DZ","2021-04","> 1000","> 1000"
"459","DZ","2021-05","> 1000","> 1000"
"460","DZ","2021-06","> 1000","> 1000"
"461","DZ","2021-07","> 1000","> 1000"
"462","DZ","2021-08","> 1000","> 1000"
"463","EC","2020-09","901 - 1000","901 - 1000"
"464","EC","2020-10","801 - 900","801 - 900"
